post_id,captured_at,platform,topic,public_text,language,location,inferred_audience,impressions,engagements,shares,comments,sentiment_score,source_verified
SOC-0001,2026-01-01,Public forum,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Parents,13405,2413,410,434,-0.25,true
SOC-0002,2026-01-02,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Khor Fakkan,Professionals,2623,289,78,17,-0.67,true
SOC-0003,2026-01-03,Public forum,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Khor Fakkan,Students,54071,4326,1298,1125,0.71,true
SOC-0004,2026-01-04,Instagram,breaking_news,The news is urgent but has no link to a trusted source,en,Kalba,Professionals,55772,9481,3508,2370,-0.68,false
SOC-0005,2026-01-05,TikTok,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Youth,32429,3243,876,454,0.90,true
SOC-0006,2026-01-06,TikTok,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Students,2243,359,90,75,0.81,true
SOC-0007,2026-01-07,YouTube,digital_literacy,The short verification steps are useful and actionable,en,Al Dhaid,Parents,13963,1117,190,201,0.93,true
SOC-0008,2026-01-08,TikTok,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Sharjah,Youth,57004,4560,684,1140,0.62,false
SOC-0009,2026-01-09,Public forum,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Kalba,Youth,43881,3949,355,1066,0.45,false
SOC-0010,2026-01-10,Public forum,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Residents,19877,3578,465,966,0.71,true
SOC-0011,2026-01-11,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Parents,14590,1021,225,214,-0.77,true
SOC-0012,2026-01-12,Facebook,breaking_news,The news is urgent but has no link to a trusted source,en,Al Dhaid,Professionals,45166,8130,3089,2195,-0.54,true
SOC-0013,2026-01-13,TikTok,source_verification,How can I verify the original source before sharing?,en,UAE,Professionals,50040,6505,2342,1431,0.41,true
SOC-0014,2026-01-14,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Parents,11819,1891,265,284,-0.14,true
SOC-0015,2026-01-15,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Khor Fakkan,Professionals,15902,2067,372,393,0.84,true
SOC-0016,2026-01-16,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Parents,35067,5611,1234,1515,-0.31,false
SOC-0017,2026-01-17,TikTok,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Youth,17122,1883,339,471,-0.62,true
SOC-0018,2026-01-18,Instagram,ai_content,Is this video authentic or AI-generated?,en,UAE,Residents,9827,1278,294,102,-0.09,true
SOC-0019,2026-01-19,Facebook,ai_content,Is this video authentic or AI-generated?,en,Sharjah,Parents,53791,6993,2517,559,-0.30,false
SOC-0020,2026-01-20,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Al Dhaid,Parents,21197,2756,1130,220,0.45,false
SOC-0021,2026-01-21,Public forum,misinformation,The image is real but its caption is misleading,en,Al Dhaid,Students,64055,4484,1390,673,-0.59,true
SOC-0022,2026-01-22,Public forum,digital_literacy,The short verification steps are useful and actionable,en,Al Dhaid,Content creators,19297,386,100,73,0.77,true
SOC-0023,2026-01-23,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Khor Fakkan,Residents,28592,2573,592,412,0.41,true
SOC-0024,2026-01-24,TikTok,misinformation,The image is real but its caption is misleading,en,UAE,Professionals,15414,1850,592,352,-0.56,true
SOC-0025,2026-01-25,Instagram,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Youth,19231,1731,173,398,0.86,true
SOC-0026,2026-01-26,Facebook,breaking_news,The news is urgent but has no link to a trusted source,en,Khor Fakkan,Youth,21086,2952,325,443,-0.57,false
SOC-0027,2026-01-27,Instagram,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Sharjah,Residents,45747,6405,576,1665,0.23,false
SOC-0028,2026-01-28,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,UAE,Professionals,59860,7782,3113,778,0.10,true
SOC-0029,2026-01-29,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Residents,43304,866,355,225,-0.66,true
SOC-0030,2026-01-30,Instagram,official_sources,The official clarification arrived quickly and included clear details,en,Kalba,Students,23576,2593,596,130,0.70,true
SOC-0031,2026-01-31,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Youth,20227,1618,518,178,-0.22,false
SOC-0032,2026-02-01,Public forum,trust,Including the date and source increased my trust,en,Kalba,Parents,65800,9212,737,1474,0.72,true
