result_id,report_date,campaign_name,creative_id,message_ar,message_en,media_channel,placement,audience_cohort,impressions,unique_reach,engagements,shares,link_clicks,completed_views,observed_verification_actions,negative_feedback,spend_aed
PERF-0001,2026-01-01,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,X,Reels,Professionals,31397,25746,2060,227,330,5922,96,62,2040
PERF-0002,2026-01-02,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",TikTok,Reels,Content creators,93038,81873,4094,983,450,29474,149,0,2977
PERF-0003,2026-01-03,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Feed,Content creators,98843,72155,6494,844,1429,18039,514,0,676
PERF-0004,2026-01-04,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Reels,Content creators,36128,29264,2341,655,1077,7609,549,23,4811
PERF-0005,2026-01-05,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,TikTok,Promoted post,Students,112552,81037,3241,454,681,35656,313,130,2957
PERF-0006,2026-01-06,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Stories,Students,58324,50742,4059,1218,1461,19789,526,0,3776
PERF-0007,2026-01-07,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Promoted post,Youth,133221,89258,2678,830,884,42844,486,0,3562
PERF-0008,2026-01-08,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Government portal,Reels,Parents,20841,14797,1480,370,459,5623,248,0,2709
PERF-0009,2026-01-09,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Instagram,Promoted post,Students,87189,58417,9347,2898,2337,30377,748,187,4294
PERF-0010,2026-01-10,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Reels,Students,115105,100141,10014,2203,3305,46065,1983,401,5672
PERF-0011,2026-01-11,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Government portal,Stories,Youth,31725,20939,2722,544,544,8585,98,109,1303
PERF-0012,2026-01-12,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",TikTok,Reels,Residents,86039,73133,11701,3510,3627,40223,1668,0,5966
PERF-0013,2026-01-13,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Stories,Professionals,19726,16570,2154,431,948,1491,512,0,2318
PERF-0014,2026-01-14,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Government portal,Promoted post,Residents,154319,112653,6759,1014,1622,30416,1038,68,2343
PERF-0015,2026-01-15,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Instagram,Feed,Residents,83953,54569,4366,742,1222,17462,354,131,2522
PERF-0016,2026-01-16,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Reels,Residents,34679,21501,3010,452,993,7310,675,30,3664
PERF-0017,2026-01-17,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Stories,Youth,77037,59318,1780,534,356,13050,217,0,3953
PERF-0018,2026-01-18,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Pre-roll,Content creators,131094,95699,4785,813,1962,28710,1295,0,5165
PERF-0019,2026-01-19,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Pre-roll,Residents,132302,107165,12860,1157,2443,23576,1539,0,977
PERF-0020,2026-01-20,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Pre-roll,Parents,55238,49714,5469,984,1313,21377,853,164,2532
PERF-0021,2026-01-21,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",YouTube,Stories,Parents,73682,64103,5769,808,808,20513,452,231,3063
