anonymous_response_id,survey_date,age_band,emirate_or_city,preferred_platform,shares_news_frequency_1_to_5,verifies_before_sharing_1_to_5,trust_in_official_sources_1_to_5,notices_source_name_1_to_5,communication_fatigue_1_to_5,preferred_content_format,primary_question_or_concern,preferred_language,consent_for_aggregate_analysis
SUR-0001,2026-01-01,18-24,Kalba,TikTok,3,4,4,1,1,Infographic,How do I find the original source?,Arabic,true
SUR-0002,2026-01-02,18-24,Al Dhaid,YouTube,2,2,4,5,4,Infographic,How do I find the original source?,Arabic,true
SUR-0003,2026-01-03,18-24,UAE,X,2,4,2,1,4,Explainer video,كيف أميز المحتوى المولد بالذكاء الاصطناعي؟,English,true
SUR-0004,2026-01-04,45-54,Kalba,WhatsApp,2,4,5,2,1,Infographic,هل الصورة حديثة أم قديمة؟,English,true
SUR-0005,2026-01-05,35-44,Kalba,Instagram,5,3,4,2,3,Official statement,Which official channel should I follow?,Arabic,true
SUR-0006,2026-01-06,18-24,Al Dhaid,YouTube,4,1,3,3,3,Official statement,كيف أميز المحتوى المولد بالذكاء الاصطناعي؟,Arabic,true
SUR-0007,2026-01-07,55+,Khor Fakkan,YouTube,1,2,3,5,2,Short video,كيف أميز المحتوى المولد بالذكاء الاصطناعي؟,English,true
SUR-0008,2026-01-08,55+,Sharjah,Government portal,1,1,3,4,5,Explainer video,كيف أعرف الحساب الرسمي؟,English,true
SUR-0009,2026-01-09,55+,Khor Fakkan,WhatsApp,3,3,5,4,5,Short video,How do I find the original source?,Arabic,true
SUR-0010,2026-01-10,55+,Sharjah,WhatsApp,3,4,4,5,2,Short video,كيف أميز المحتوى المولد بالذكاء الاصطناعي؟,Arabic,true
SUR-0011,2026-01-11,45-54,UAE,WhatsApp,3,5,5,2,4,Short video,كيف أميز المحتوى المولد بالذكاء الاصطناعي؟,Arabic,true
SUR-0012,2026-01-12,55+,Al Dhaid,YouTube,2,2,2,3,5,Infographic,How do I find the original source?,Arabic,true
